h‘bîvñNg¡
íVŠÊ(©&1¡ÿHù:‘Temperature, Pressure, Humidity, Gas, Altitude, TVOC, eCO2, Raw_H2, Raw_Ethanol 
26.02, 1011.28, 69.69, 7.43, 16.41, 0, 460, 14298, 19434
26.01, 1011.28, 69.70, 7.57, 16.41, 0, 459, 14306, 19450
26.01, 1011.29, 69.83, 7.68, 16.25, 0, 466, 14292, 19442
26.00, 1011.31, 69.89, 7.83, 16.08, 0, 459, 14302, 19460
26.00, 1011.33, 69.90, 7.98, 15.83, 0, 466, 14299, 19467
25.99, 1011.34, 69.86, 8.12, 15.91, 0, 467, 14292, 19477
25.98, 1011.33, 69.88, 8.27, 16.16, 0, 459, 14301, 19494
25.97, 1011.30, 69.72, 8.45, 16.25, 0, 455, 14308, 19502
25.95, 1011.29, 69.58, 8.65, 16.33, 0, 457, 14303, 19494
25.94, 1011.27, 69.34, 8.81, 16.50, 0, 452, 14312, 19515
25.92, 1011.28, 69.34, 9.03, 16.41, 0, 452, 14307, 19515
25.90, 1011.28, 69.01, 9.31, 16.33, 0, 444, 14307, 19520
25.87, 1011.28, 68.31, 9.56, 16.33, 0, 430, 14312, 19543
25.84, 1011.29, 67.67, 9.86, 16.25, 0, 427, 14327, 19554
25.80, 1011.31, 67.25, 10.13, 16.08, 0, 427, 14326, 19569
25.75, 1011.32, 67.06, 10.41, 16.08, 0, 412, 14334, 19576
25.71, 1011.31, 66.85, 10.76, 16.25, 0, 414, 14336, 19601
25.66, 1011.30, 66.76, 11.07, 16.25, 0, 401, 14347, 19608
25.61, 1011.29, 66.72, 11.40, 16.25, 0, 400, 14341, 19615
25.56, 1011.30, 66.65, 11.70, 16.25, 0, 404, 14340, 19615
25.51, 1011.29, 66.58, 12.03, 16.25, 0, 400, 14348, 19630
25.47, 1011.29, 66.56, 12.42, 16.25, 0, 400, 14356, 19644
25.42, 1011.29, 66.55, 12.77, 16.25, 0, 408, 14351, 19642
25.38, 1011.29, 66.41, 13.16, 16.25, 0, 406, 14352, 19648
25.34, 1011.29, 66.25, 13.54, 16.25, 0, 403, 14353, 19658
25.29, 1011.29, 66.19, 13.89, 16.33, 0, 402, 14346, 19663
25.25, 1011.29, 66.29, 14.30, 16.33, 0, 400, 14354, 19676
25.20, 1011.28, 66.22, 14.73, 16.33, 0, 400, 14363, 19689
25.17, 1011.29, 66.17, 15.10, 16.16, 0, 400, 14365, 19690
25.13, 1011.30, 65.85, 15.61, 16.25, 0, 400, 14373, 19703
25.08, 1011.29, 65.47, 16.06, 16.25, 0, 400, 14390, 19722
25.03, 1011.28, 65.34, 16.51, 16.33, 0, 410, 14380, 19727
24.98, 1011.27, 65.31, 16.92, 16.33, 0, 408, 14372, 19721
24.93, 1011.29, 65.21, 17.37, 16.25, 0, 410, 14382, 19731
24.88, 1011.30, 65.06, 17.80, 16.33, 0, 400, 14389, 19747
24.83, 1011.29, 64.91, 18.34, 16.41, 0, 402, 14389, 19746
24.77, 1011.27, 64.86, 18.79, 16.50, 0, 400, 14398, 19772
24.71, 1011.27, 64.84, 19.23, 16.41, 0, 400, 14401, 19764
24.67, 1011.29, 64.94, 19.68, 16.33, 0, 406, 14392, 19766
24.63, 1011.29, 64.86, 20.11, 16.33, 0, 407, 14392, 19772
24.59, 1011.29, 64.96, 20.47, 16.25, 0, 400, 14404, 19781
24.55, 1011.30, 64.93, 20.96, 16.33, 0, 401, 14395, 19788
24.51, 1011.29, 64.74, 21.31, 16.33, 0, 400, 14401, 19788
24.46, 1011.28, 64.81, 21.84, 16.41, 0, 400, 14401, 19796
24.43, 1011.27, 64.93, 22.17, 16.50, 0, 409, 14393, 19792
24.40, 1011.27, 65.11, 22.55, 16.50, 0, 400, 14405, 19805
24.36, 1011.27, 65.10, 23.05, 16.50, 0, 400, 14407, 19809
24.32, 1011.28, 65.01, 23.49, 16.33, 0, 400, 14411, 19818
24.29, 1011.29, 64.97, 23.83, 16.41, 0, 400, 14403, 19812
24.27, 1011.29, 65.02, 24.26, 16.25, 0, 400, 14405, 19818
24.24, 1011.29, 65.11, 24.67, 16.41, 0, 400, 14411, 19830
24.21, 1011.29, 65.15, 25.01, 16.41, 0, 400, 14416, 19840
24.18, 1011.28, 65.09, 25.49, 16.41, 0, 400, 14413, 19842
24.14, 1011.29, 65.11, 25.92, 16.25, 0, 400, 14424, 19855
24.11, 1011.30, 65.33, 26.36, 16.25, 0, 400, 14404, 19839
24.08, 1011.30, 65.51, 26.70, 16.16, 0, 400, 14412, 19851
24.06, 1011.31, 65.44, 27.13, 16.00, 0, 400, 14410, 19848
24.03, 1011.34, 65.52, 27.64, 15.91, 0, 400, 14429, 19870
24.01, 1011.35, 65.61, 27.99, 15.75, 0, 400, 14405, 19855
23.99, 1011.36, 65.80, 28.45, 15.58, 0, 400, 14414, 19851
23.97, 1011.37, 65.84, 28.84, 15.58, 0, 400, 14417, 19864
23.96, 1011.37, 65.93, 29.28, 15.66, 0, 400, 14408, 19858
23.94, 1011.36, 66.15, 29.66, 15.83, 0, 400, 14406, 19861
23.94, 1011.34, 66.38, 29.98, 15.91, 0, 400, 14413, 19869
